subject,trial,window_index,start_seconds,end_seconds,samples,status,issues,max_abs_uv,max_peak_to_peak_uv,over_200uv_fraction,flat_channels,variance_outlier_channels,source_path
sub-mit061,1,1,0.0,4.0,1000,pass,,464.75475956879455,529.2465730656363,0.0005390625,0,0,data/processed/sub-mit061/trials/sub-mit061_trial-01_eeg.fif
sub-mit061,1,2,2.0,6.0,1000,pass,,317.40142742129467,366.8898191725692,0.00021875,0,0,data/processed/sub-mit061/trials/sub-mit061_trial-01_eeg.fif
sub-mit061,1,3,4.0,8.0,1000,pass,,456.15984992252584,894.2753273320156,0.0005078125,0,2,data/processed/sub-mit061/trials/sub-mit061_trial-01_eeg.fif
sub-mit061,1,4,6.0,10.0,1000,pass,,460.17880132839457,894.2753273320156,0.000984375,0,2,data/processed/sub-mit061/trials/sub-mit061_trial-01_eeg.fif
sub-mit061,1,5,8.0,12.0,1000,pass,,460.17880132839457,498.27043407524,0.0004921875,0,1,data/processed/sub-mit061/trials/sub-mit061_trial-01_eeg.fif
sub-mit061,1,6,10.0,14.0,1000,pass,,209.92929024146386,402.65116780664573,1.5625e-05,0,3,data/processed/sub-mit061/trials/sub-mit061_trial-01_eeg.fif
sub-mit061,1,7,12.0,16.0,1000,review,amplitude_warning,579.2997421897525,683.4623472124117,0.0003828125,0,1,data/processed/sub-mit061/trials/sub-mit061_trial-01_eeg.fif
sub-mit061,1,8,14.0,18.0,1000,review,amplitude_warning,590.686582981316,688.4043256545242,0.0015859375,0,2,data/processed/sub-mit061/trials/sub-mit061_trial-01_eeg.fif
sub-mit061,1,9,16.0,20.0,1000,review,amplitude_warning,662.433653112672,737.3162518005647,0.002109375,0,2,data/processed/sub-mit061/trials/sub-mit061_trial-01_eeg.fif
sub-mit061,1,10,18.0,22.0,1000,review,amplitude_warning,662.433653112672,737.3162518005647,0.00090625,0,1,data/processed/sub-mit061/trials/sub-mit061_trial-01_eeg.fif
sub-mit061,1,11,20.0,24.0,1000,pass,,171.69987444442918,279.5427849387536,0.0,0,3,data/processed/sub-mit061/trials/sub-mit061_trial-01_eeg.fif
sub-mit061,1,12,22.0,26.0,1000,pass,,142.25942957247008,271.19052055554414,0.0,0,2,data/processed/sub-mit061/trials/sub-mit061_trial-01_eeg.fif
sub-mit061,1,13,24.0,28.0,1000,pass,,356.30520539924396,399.25318807889664,0.0001328125,0,0,data/processed/sub-mit061/trials/sub-mit061_trial-01_eeg.fif
sub-mit061,1,14,26.0,30.0,1000,pass,,373.2644949072071,433.6034763832838,0.00025,0,0,data/processed/sub-mit061/trials/sub-mit061_trial-01_eeg.fif
sub-mit061,1,15,28.0,32.0,1000,pass,,373.2644949072071,434.4747494218555,0.000265625,0,0,data/processed/sub-mit061/trials/sub-mit061_trial-01_eeg.fif
sub-mit061,1,16,30.0,34.0,1000,review,amplitude_warning,682.2095319689928,1241.1539275304501,0.0006484375,0,1,data/processed/sub-mit061/trials/sub-mit061_trial-01_eeg.fif
sub-mit061,1,17,32.0,36.0,1000,reject,extreme_amplitude;amplitude_warning,1255.625240970476,2116.1235298135516,0.001671875,0,1,data/processed/sub-mit061/trials/sub-mit061_trial-01_eeg.fif
sub-mit061,1,18,34.0,38.0,1000,reject,extreme_amplitude;amplitude_warning,1255.625240970476,2116.1235298135516,0.001171875,0,1,data/processed/sub-mit061/trials/sub-mit061_trial-01_eeg.fif
